,EarthquakeMagnitude,Modynecm,Strikedeg,Dipdeg,RakeAngledeg,MechanismBasedonRakeAngle,Pplungedeg,Ptrenddeg,Tplungedeg,Ttrenddeg,HypocenterLatitudedeg,HypocenterLongitudedeg,HypocenterDepthkm,DepthtoTopOfFaultRuptureModel,FaultRuptureLengthforCalculationofRykm,FaultRuptureWidthkm,FaultRuptureAreakm2,AvgFaultDispcm,RiseTimes,AvgSlipVelocitycms,StaticStressDropbars,PreferredRuptureVelocitykms,AverageVrVs,PercentofMomentReleaseintheTop5KmofCrust,DepthtoTopofShallowestAsperitykm,EarthquakeinExtensionalRegime1Yes0No,SlipRatemmYr,EpiDkm,HypDkm,JoynerBooreDistkm,RmsDkm,ClstDkm,Rx,SourcetoSiteAzimuthdeg,X,ThetaDdeg,SSGAStrikeSlip,Y,PhiDdeg,SSGADipSlip,s,ctildepr,D,RfnHyp,RfpHyp,T,GMXsC1,GMXsC2,GMXsC3,CampbellsGEOCODE,BrayandRodriguezMarekSGS,Depth,PreferredNEHRPBasedonVs30,Vs30msselectedforanalysis,NEHRPClassificationfromCGSsSiteConditionMap,DepthtoBasementRock,Age,GrainSize,DepositionalHistory,H1azimthdegrees,H2azimithdegrees,HPH1Hz,HPH2Hz,LPH1Hz,LPH2Hz,AveStrikedeg,U,IDPv4,XCI,XCI1,Damping,RotDpercentile,PGAg,PGVcmsec,PGDcm,T0010S,T0020S,T0022S,T0025S,T0029S,T0030S,T0032S,T0035S,T0036S,T0040S,T0042S,T0044S,T0045S,T0046S,T0048S,T0050S,T0055S,T0060S,T0065S,T0067S,T0070S,T0075S,T0080S,T0085S,T0090S,T0095S,T0100S,T0110S,T0120S,T0130S,T0133S,T0140S,T0150S,T0160S,T0170S,T0180S,T0190S,T0200S,T0220S,T0240S,T0250S,T0260S,T0280S,T0290S,T0300S,T0320S,T0340S,T0350S,T0360S,T0380S,T0400S,T0420S,T0440S,T0450S,T0460S,T0480S,T0500S,T0550S,T0600S,T0650S,T0667S,T0700S,T0750S,T0800S,T0850S,T0900S,T0950S,T1000S,T1100S,T1200S,T1300S,T1400S,T1500S,T1600S,T1700S,T1800S,T1900S,T2000S,T2200S,T2400S,T2500S,T2600S,T2800S,T3000S,T3200S,T3400S,T3500S,T3600S,T3800S,T4000S,T4200S,T4400S,T4600S,T4800S,T5000S,T5500S,T6000S,T6500S,T7000S,T7500S,T8000S,T8500S,T9000S,T9500S,T10000S,T11000S,T12000S,T13000S,T14000S,T15000S,T20000S
0,6.0,1.122018454301974e+25,268.0,75.0,160,0,2.9,316.29,24.62,224.96,46.61,-111.96,6.0,1.974,16.2,4.2,68.1,62.54036034182939,0.8739383947033875,57.86698434908855,25.380100489229992,2.6289694715703242,0.784261440625612,49.59151953149809,2.9867260195508396,0,2.0287822918768463,6.31,8.71,2.07,7.4,2.86,-2.07,-90.0,0.34,29.94,0.29,0.99,12.68,0.97,8.69646676489721,2.324589337309152,12.72439154944727,-0.1803382582424784,0.024623956086593585,5.869315539207376,3,11,0,2,0,3,2,593.35,1,2.0522258409455336,14,4,10,180.0,270.0,0.13,0.09,15.0,15.0,268.01,34.77078359000186,0.9779247379416269,0.11891724293781894,-0.02952947292733948,0.5,50,0.15702,10.054,3.0052,0.1574763,0.1643114,0.165726,0.1623311,0.170577,0.1775893,0.1869136,0.2071157,0.2153168,0.2454395,0.2266476,0.2910497,0.2651206,0.2572797,0.3417585,0.3038869,0.3468197,0.4262022,0.5335482,0.4246866,0.6180521,0.661296,0.5896199,0.4311134,0.4415327,0.3643963,0.403129,0.5583789,0.6899793,0.5277702,0.5751363,0.6452577,0.7393663,0.4140937,0.4381216,0.5637318,0.4259748,0.3595851,0.4523481,0.3816808,0.4915818,0.5182991,0.4711078,0.4346886,0.4494056,0.4074495,0.442706,0.4685161,0.5070313,0.513761,0.4552147,0.3679829,0.2676274,0.2331983,0.2122555,0.1893354,0.1730537,0.1454142,0.1302624,0.1162408,0.1182224,0.1176358,0.1173543,0.1143668,0.1161503,0.1237208,0.133793,0.1329129,0.1249539,0.1071285,0.09418077,0.08107423,0.07299121,0.0644638,0.05733987,0.05153937,0.04628662,0.04191786,0.03492682,0.0294491,0.02767375,0.02587846,0.02245833,0.01965729,0.01617306,0.01376611,0.01280203,0.01184024,0.01026379,0.009019705,0.007892456,0.007016846,0.00633837,0.005918507,0.005857548,0.004108915,0.003277588,0.002749939,0.002267426,0.001966474,0.00177591,0.001559668,0.001401161,0.001265228,0.00114785,0.0009567034,0.0008093839,0.0006932676,0.0006002861,0.0005247022,0.0002981701
1,6.0,1.122018454301974e+25,268.0,75.0,160,0,2.9,316.29,24.62,224.96,46.62,-111.97,6.0,2.039,15.3,7.9,120.0,59.457315473302245,0.7777322310264742,50.34719745186956,24.790684884230526,2.5903003274619043,0.7851617237793055,49.48835312767042,2.469134089014003,0,2.1230767405181172,6.31,8.71,2.09,6.88,2.92,-2.09,-90.0,0.36,29.94,0.31,0.52,12.68,0.51,9.338729557049607,2.060160271792409,12.608178465004826,-0.13376856155149477,0.03351840029982247,0.48817329624102657,2,11,0,3,0,3,2,551.82,0,0.0,14,4,10,0.0,90.0,0.4,0.4,20.0,20.0,268.0,32.899667683020475,0.8858548683147214,0.11014422809627983,-0.038112827357456885,0.5,50,0.046423,0.64978,0.035305,0.0464595,0.05175804,0.04899555,0.05117809,0.05871265,0.05216124,0.06654241,0.06869197,0.06996711,0.08644282,0.08885391,0.09247918,0.08506333,0.09450539,0.1144023,0.07803047,0.1199189,0.174439,0.2257334,0.2234381,0.2201715,0.2371112,0.2137337,0.1738507,0.1517506,0.1010413,0.06623454,0.07111032,0.0823245,0.07683843,0.07759582,0.07011827,0.05877691,0.04374499,0.0347115,0.02825465,0.02206167,0.01890515,0.02494072,0.0216573,0.02024765,0.01783852,0.01316292,0.01320422,0.01264978,0.01175307,0.01189177,0.0118215,0.01124497,0.009748572,0.008359076,0.007577376,0.00712701,0.006580831,0.006468111,0.006600555,0.006626599,0.005184032,0.004867264,0.003948317,0.003777438,0.003474253,0.003147234,0.002713224,0.002298442,0.002235847,0.002732401,0.002292492,0.002330409,0.002335591,0.002528641,0.001881672,0.001753208,0.001611198,0.001495546,0.00111021,0.001334187,0.001224951,0.0007947304,0.000552303,0.0004822943,0.000477205,0.0004369681,0.0003288227,0.000240539,0.000187427,0.0001754873,0.0001642905,0.0001442896,0.0001270277,0.0001123713,9.971033e-05,8.884254e-05,7.958399e-05,7.165397e-05,5.61031e-05,4.565697e-05,3.832491e-05,3.261217e-05,2.808156e-05,2.443311e-05,2.145144e-05,1.898747e-05,1.692631e-05,1.51849e-05,1.242471e-05,1.035854e-05,8.770634e-06,7.52363e-06,6.526011e-06,3.623994e-06
2,5.8,5.623413251903519e+24,196.2,90.0,0,0,0.0,151.2,0.0,61.2,40.4,-125.1,10.0,6.449,8.9,8.3,74.3,58.02354298777938,0.8782257304575809,43.88112359612125,23.965037159257957,2.5812190862499005,0.7819837176365959,48.84620781899099,2.5053717280482415,0,1.9016766257706361,73.49,74.17,71.28,74.34,71.57,-62.35,-118.99,0.49,58.04,0.26,0.43,80.89,0.07,9.024408289729962,2.185311932623675,12.417334720979142,-0.13721245932995849,0.049938198171852084,-17.662845248356323,1,8,3,0,2,2,3,219.31,2,1.9833396912033938,10,4,2,225.0,315.0,0.2,0.3,11.0,10.0,196.23,20.707820110289525,0.9115742310013846,0.11771362404324795,-0.031015754422601072,0.5,50,0.040961,2.7907,0.40224,0.04099527,0.04116919,0.04134748,0.04134202,0.04161722,0.04150362,0.04166059,0.04197413,0.04200249,0.04158863,0.04300293,0.04329763,0.04313351,0.04324468,0.04338104,0.0446467,0.04329029,0.04522291,0.045821,0.04439859,0.04424926,0.04897919,0.04709317,0.0588011,0.06007671,0.05791958,0.08151121,0.07525961,0.08035266,0.1005852,0.1158446,0.1422124,0.1549377,0.1308068,0.1065737,0.148765,0.1471757,0.1480843,0.2016588,0.1695965,0.1515412,0.1406876,0.1687556,0.1681633,0.1806621,0.1749298,0.217091,0.1623459,0.1967252,0.1788464,0.1506415,0.1424928,0.1208103,0.1140915,0.1132289,0.1113705,0.1232382,0.1413224,0.1569186,0.167656,0.1554611,0.1121418,0.1190127,0.1305956,0.09188166,0.07179713,0.06116587,0.05292584,0.06050428,0.06252851,0.05006882,0.05358681,0.03578264,0.03207612,0.02201763,0.02058229,0.0195022,0.01592085,0.01191969,0.009311207,0.009274689,0.009345973,0.005727473,0.00354964,0.003455804,0.004787152,0.0043722,0.00385482,0.002752469,0.002330013,0.002209904,0.002432117,0.002240083,0.001694367,0.001386531,0.0009193319,0.0006696854,0.0005720341,0.0005179293,0.0003703902,0.0002977981,0.0002812987,0.0002439155,0.000202929,0.0001833749,0.0001478443,0.0001223145,0.0001028674,8.744799e-05,7.779145e-05,4.469817e-05
3,5.0,3.5481338923357885e+23,205.5,90.0,0,0,0.0,160.5,0.0,70.5,32.9,-115.217,16.0,13.082,2.2,3.8,8.4,70.96599870947327,0.8638774841985237,44.85579057537663,24.432030705780434,2.5599143983027797,0.7767643458329404,49.52468572857272,2.4819757536018265,1,2.0439085533438623,33.2,36.86,32.44,36.45,34.98,22.96,45.04,0.48,43.74,0.34,0.78,55.13,0.44,9.381613229266055,2.1630300974574763,12.60963791873278,-0.15014372516066485,0.06588390511219501,10.438971781330432,3,8,3,0,2,1,3,213.44,2,5.0,0,0,6,0.0,90.0,0.7,0.5,13.0,13.0,205.54,22.920442107467306,0.91642513390316,0.122027975493193,-0.033155459026820266,0.5,50,0.018449,0.64551,0.056359,0.01844795,0.01923834,0.01875828,0.01882217,0.01975811,0.02079702,0.02069741,0.02088051,0.01969847,0.02523109,0.02293509,0.02644119,0.02886014,0.02864458,0.03237058,0.03546801,0.03532637,0.04311187,0.03742043,0.04747172,0.04517251,0.04916709,0.05541009,0.0978931,0.07758909,0.08824021,0.08127532,0.09079569,0.08981352,0.08085987,0.09365599,0.1087687,0.1944006,0.08653446,0.09116118,0.1008252,0.1072186,0.07997533,0.07986019,0.100568,0.1009866,0.08584456,0.07491316,0.05254599,0.05049872,0.05399032,0.04380334,0.05993906,0.04232226,0.03854501,0.05439895,0.0699527,0.04120536,0.05513398,0.07290554,0.04281582,0.04468422,0.04756079,0.03619609,0.02099353,0.02682564,0.01891285,0.02266935,0.02094605,0.0194002,0.0152877,0.01166827,0.01796848,0.006775057,0.006607624,0.005628699,0.005398963,0.003196366,0.002177374,0.001945691,0.001772404,0.001468924,0.001288565,0.001711949,0.00138844,0.001120766,0.0008593745,0.0006090148,0.0004068785,0.0003206235,0.0002519375,0.0002276232,0.0002080442,0.0001815862,0.0001646985,0.0001505819,0.0001396962,0.0001294156,0.0001197355,0.0001104021,8.927173e-05,7.149738e-05,5.752873e-05,4.714297e-05,3.958763e-05,3.438283e-05,3.026397e-05,2.691619e-05,2.408173e-05,2.188545e-05,1.836332e-05,1.562855e-05,1.344807e-05,1.166827e-05,1.021082e-05,5.775293e-06
4,5.5,1.9952623149688984e+24,35.0,90.0,0,0,0.0,350.0,0.0,260.0,40.3,-124.8,10.0,9.507,4.4,5.7,25.0,58.44862644016559,0.8502159310204517,44.61595728847894,25.064123231009376,2.575851608917106,0.7849670619580665,48.81251576941049,2.505146867886842,0,2.103368110194631,54.88,55.78,52.73,56.14,53.58,19.51,21.72,0.52,20.83,0.49,0.09,62.87,0.04,9.052222218397757,2.232132213440311,12.588846151567383,-0.14556866599593776,0.06991123494491784,6.179783754814889,1,8,3,0,2,2,3,219.31,2,1.854922043950529,10,4,2,45.0,135.0,0.5,0.13,13.0,13.0,34.96,34.62666656347648,0.9210529229881306,0.12140910828826462,-0.034050355268379906,0.5,50,0.12218,6.5639,0.73306,0.1225044,0.125593,0.1224605,0.1242866,0.1257546,0.1277858,0.1263759,0.1253474,0.1256872,0.1396089,0.1391975,0.1304435,0.1352345,0.1438776,0.139974,0.1389555,0.1513432,0.1523264,0.151705,0.1660329,0.150001,0.1694767,0.1883247,0.1731299,0.2158132,0.2079964,0.2554655,0.2824256,0.2366832,0.3390919,0.2889728,0.355636,0.4164572,0.4113689,0.4299115,0.7476085,0.7603266,0.5178267,0.3596899,0.3636604,0.3561185,0.3807878,0.4402843,0.4576845,0.5337175,0.4138095,0.4334255,0.345337,0.3285085,0.2613693,0.4146147,0.4604894,0.4451991,0.4106061,0.4094387,0.3718283,0.3280955,0.3195024,0.1677416,0.2317082,0.1780873,0.1548417,0.1661425,0.1349799,0.2078693,0.1604822,0.1636237,0.1784481,0.07869341,0.06392413,0.0770921,0.06191559,0.0423377,0.02888899,0.02467796,0.02333467,0.01908535,0.0186732,0.01293918,0.01016686,0.008807072,0.007601426,0.006176515,0.004427971,0.003818712,0.004531838,0.004710082,0.004436321,0.003458363,0.002859335,0.002491043,0.002228058,0.001846493,0.001590609,0.001450793,0.00120028,0.001216435,0.0009178653,0.0007146609,0.0005747534,0.000476279,0.0004015383,0.0003494375,0.0003093273,0.0002855526,0.0002319197,0.0001950382,0.0001673502,0.000145108,0.0001269837,7.241705e-05
5,6.95,2.985382618917989e+26,323.0,80.0,180,0,7.05,187.56,7.05,278.44,32.7601,-115.4162,8.8,0.0,63.0,13.0,818.8,101.84486559285524,1.369005386020932,50.18268830921585,31.041029419445064,2.3879119888198375,0.7479439258138388,49.36276987956363,2.375412881914873,1,20.0,12.98,15.69,6.09,15.8,6.09,-6.09,-90.0,0.17,36.07,0.13,0.69,30.99,0.59,10.49,1.8049,13.78,-0.5353,0.213,-6.0926381,3,8,3,0,2,1,3,213.44,2,5.0,0,0,6,180.0,270.0,0.2,0.13,10.0,10.0,323.0,50.965731,0.8249,0.1764,-0.2462,0.5,50,0.23349,31.299,18.447,0.2342015,0.2335934,0.2337825,0.2341024,0.2341732,0.2343941,0.2346069,0.2350644,0.2349656,0.2374435,0.2365027,0.2357792,0.2383999,0.2414672,0.2412454,0.2433617,0.2510459,0.2714512,0.30741,0.269827,0.2790511,0.3655411,0.4010872,0.5250485,0.6101637,0.681054,0.9038786,0.8010604,0.8581082,1.25233,1.274127,0.9730677,1.357108,1.039995,1.119139,0.8877134,1.211841,1.097344,1.275791,1.050581,1.464634,1.182776,0.9451407,0.9123076,1.089864,1.248365,0.8658543,1.013649,1.068683,1.097426,1.182508,1.228396,1.232449,1.276614,1.305539,0.810674,0.9069943,1.122648,0.8445069,0.805845,0.890917,1.119138,0.5119711,0.7493609,0.9621943,0.8317204,0.6904128,0.5234835,0.4769106,0.6296216,0.3757852,0.4423245,0.2877787,0.2853282,0.2673122,0.3480704,0.3456537,0.384053,0.3055176,0.1967965,0.1787674,0.1741582,0.2068327,0.1747064,0.1546003,0.09615704,0.07833549,0.07243762,0.07226422,0.05425564,0.06483541,0.07648303,0.04984021,0.04839062,0.06998616,0.08788625,0.04817432,0.03821695,0.04079761,0.03190815,0.01918803,0.01541679,0.01229145,0.009599942,0.008637336,0.007999061,0.005428681,0.004559966,0.003596313,0.00311957,0.001921143
6,6.6,8.912509381337463e+25,87.9,90.0,0,0,0.0,42.9,0.0,312.9,40.7,-125.4,10.0,3.43,20.8,9.0,186.0,57.06197190569589,0.893713733241247,47.05559795061669,25.447945837429597,2.578172379682063,0.7839242310847706,48.48725497855779,2.511850765835251,0,2.252677929256409,97.0,97.51,91.15,101.22,91.22,16.77,10.6,0.29,9.95,0.28,0.73,59.18,0.38,9.16412803951555,2.1345325698901974,12.097370184760965,-0.13567927497508522,0.06395170720343776,11.437635033142499,1,8,3,0,2,2,3,219.31,2,1.9403406176002305,10,4,2,45.0,135.0,0.13,0.1,13.0,10.0,87.86,36.92001376095821,0.8954713646694368,0.12076688078102026,-0.02871439650624558,0.5,50,0.049416,3.5577,1.3449,0.04945849,0.0497344,0.04992491,0.04946404,0.05082947,0.050114,0.05141456,0.05047299,0.05031845,0.05195695,0.05524591,0.05361814,0.05188141,0.05493877,0.05550621,0.05016733,0.05950086,0.0555419,0.06495675,0.06680626,0.06990548,0.06029613,0.0619362,0.08494642,0.08144889,0.1112152,0.09026613,0.1070233,0.1239762,0.1440333,0.1074879,0.1299834,0.185858,0.2555449,0.1962609,0.1446218,0.1513743,0.2088445,0.3561391,0.2532248,0.3890407,0.2950039,0.2598374,0.2750852,0.2288607,0.4169908,0.3113493,0.2450059,0.1941933,0.1013412,0.1421439,0.2202487,0.1789662,0.1547168,0.1565737,0.1329814,0.1449209,0.2370186,0.283028,0.1391994,0.1041378,0.09954726,0.07553856,0.0785606,0.10613,0.0880932,0.05109049,0.03912492,0.07158398,0.0463372,0.05045573,0.04179156,0.04863741,0.03577802,0.02538729,0.02858447,0.02329784,0.02526454,0.03126677,0.01931676,0.01314178,0.01547043,0.01290975,0.02164112,0.0224688,0.01889227,0.01748677,0.0127619,0.007706725,0.006753147,0.007329344,0.008680092,0.008369111,0.006224058,0.004875384,0.005109374,0.002872289,0.001999262,0.00186606,0.001717884,0.001935748,0.001977077,0.001437214,0.00115285,0.0009918936,0.00068049,0.000549156,0.000427373,0.0002806651,0.0002614789,0.0001948248
7,6.4,4.46683592150968e+25,299.4,90.0,0,0,0.0,254.4,0.0,164.4,40.4,-124.8,10.0,3.723,28.6,12.1,347.6,61.452938557341916,0.8777066336422736,44.87381792781844,22.840137810960403,2.5747073608725852,0.7868569921430523,49.0984485639282,2.4918504740920113,0,2.3745706120270147,49.49,50.49,44.52,53.3,44.68,39.47,117.55,0.32,52.9,0.19,0.52,75.78,0.13,9.800957238679745,2.154761230053748,12.639794983186004,-0.11576016862132599,0.07396333380333185,12.208951680412794,1,8,3,0,2,2,3,219.31,2,2.0284128188523454,10,4,2,225.0,315.0,0.3,0.2,13.0,13.0,299.41,23.291085852258284,0.9248744167570906,0.12327437277901676,-0.03203201195935036,0.5,50,0.11688,6.3558,1.0714,0.116989,0.1172656,0.1173405,0.1180065,0.1181216,0.1175878,0.1193148,0.1185806,0.1176484,0.1237115,0.1219536,0.1232222,0.1230287,0.1282311,0.130357,0.1201097,0.1282661,0.1354835,0.1392709,0.1306135,0.1601212,0.1516102,0.181146,0.1947404,0.2132643,0.2166882,0.2012852,0.2200689,0.3604865,0.3033162,0.2945164,0.3962288,0.3639973,0.4616224,0.371219,0.5740952,0.5184027,0.4889876,0.4521428,0.3884376,0.4085245,0.4486717,0.506193,0.5615049,0.5253563,0.6227448,0.6008237,0.420889,0.4171048,0.6040793,0.4546925,0.352192,0.3672531,0.3328574,0.3372184,0.3006874,0.2319629,0.2435545,0.4483224,0.4521098,0.4165794,0.2828644,0.1767668,0.182608,0.1982737,0.2038163,0.1385998,0.149534,0.1146631,0.04614727,0.04231099,0.04927414,0.03108266,0.03401385,0.03347845,0.02120718,0.02408534,0.01762373,0.02853902,0.0177243,0.01701372,0.01778675,0.01464961,0.01203816,0.01187889,0.009357737,0.009737062,0.009761725,0.008055639,0.006996435,0.005522423,0.005156694,0.004177566,0.003227835,0.002689003,0.002017518,0.001538276,0.001208469,0.0009839187,0.0008266871,0.0007145976,0.0006305934,0.0005638287,0.0005093435,0.0004634856,0.0003889907,0.0003310083,0.0002840705,0.000246054,0.0002146485,0.0001188646
8,6.5,6.309573444801992e+25,40.0,90.0,0,0,0.0,355.0,0.0,265.0,33.049,-116.088,8.0,0.0,26.9,15.2,409.7,64.18423024853132,0.8682394595261386,45.01325635620738,28.32991224615352,2.572950430310647,0.78534480327989,48.886819586763934,2.53011170136983,0,2.0123661973527605,57.79,58.34,56.88,60.21,56.88,56.78,86.56,0.27,79.25,0.05,0.52,81.98,0.07,9.508975056139123,2.1594619604680934,12.971795753613934,-0.1408059410293262,0.04184334522994258,29.65985605493301,3,8,3,0,2,1,3,213.44,2,5.0,0,0,6,0.0,90.0,0.1,0.1,15.0,15.0,40.01,30.095208204968408,0.9624707633082686,0.11873143137138148,-0.020384901077848808,0.5,50,0.052247,6.1297,4.2278,0.05233802,0.0528331,0.05321432,0.05326708,0.0533534,0.05429381,0.05393351,0.0587162,0.05446858,0.0587117,0.0669052,0.06923905,0.07036009,0.07390273,0.09082795,0.07694969,0.09101426,0.08905283,0.1322189,0.1153869,0.1304979,0.1586155,0.1421807,0.2520427,0.2775926,0.217177,0.2285759,0.218165,0.2020052,0.3133761,0.3251708,0.2915325,0.2649857,0.2199542,0.2020992,0.3814573,0.3239335,0.352805,0.3379351,0.3017989,0.4211124,0.3219557,0.2317729,0.2242726,0.2462018,0.3194487,0.324417,0.3166943,0.2052112,0.2772173,0.240668,0.3186082,0.2198982,0.1769936,0.2089787,0.3312302,0.4648455,0.1642862,0.1959001,0.1330814,0.1537389,0.1241756,0.1669031,0.2110427,0.1358562,0.1436921,0.1225688,0.1213609,0.077151,0.09963189,0.1429147,0.1124893,0.141773,0.1139722,0.07237126,0.1084464,0.100539,0.09593718,0.05686048,0.03646206,0.03178056,0.02316057,0.02711908,0.02097221,0.01858968,0.01948139,0.01913132,0.01728441,0.01446836,0.01564127,0.01836609,0.02263348,0.02651796,0.03085263,0.03333684,0.02693638,0.03341583,0.03392902,0.02647247,0.02073387,0.01552448,0.01145562,0.008056292,0.005788573,0.0046317,0.002884374,0.001831791,0.001312662,0.001037979,0.0009752495,0.0004804355
9,5.6,2.818382931264456e+24,325.1,90.0,0,0,0.0,280.1,0.0,190.1,33.032,-115.654,9.5,5.733,7.0,7.2,50.6,55.868683960072495,0.8635283189458695,46.24645026674182,22.551300647238143,2.580312970030757,0.788665692249609,47.47228556437918,1.691039586669485,1,1.8322883861781138,28.24,29.8,24.58,29.36,25.24,-7.11,-163.18,0.54,14.59,0.52,0.52,36.83,0.42,8.440796050930423,2.1901045395937575,11.343860568211205,-0.08549930257159857,0.05879362430826402,5.551868588379457,3,8,3,0,2,1,3,213.44,2,5.0,0,0,6,0.0,90.0,0.4,0.13,13.0,13.0,325.06,14.026090713859713,0.9480325118436356,0.115256014602437,-0.03308108243923542,0.5,50,0.029364,3.0823,0.58901,0.02940858,0.02954913,0.02955788,0.02975249,0.02972301,0.03009639,0.03023409,0.03014435,0.03006394,0.03071608,0.03068028,0.03030016,0.03102786,0.03042701,0.02986487,0.03168756,0.03142262,0.03340168,0.03998093,0.03995429,0.04187569,0.04359378,0.04616481,0.05217598,0.06135112,0.05973956,0.07889588,0.09853537,0.1107069,0.1305683,0.1325839,0.1317672,0.1227328,0.1902316,0.1653433,0.1263631,0.1376331,0.1091667,0.1428865,0.1216895,0.178901,0.1098669,0.1068802,0.1125457,0.1334244,0.1466639,0.1260582,0.1225014,0.119843,0.1446399,0.1280872,0.1295463,0.1429714,0.1790867,0.1477938,0.1491665,0.1533174,0.1597928,0.16094,0.1181178,0.2159677,0.1232846,0.1068051,0.09789844,0.09014665,0.08640958,0.07650562,0.06147474,0.06979091,0.04389011,0.04954968,0.04959947,0.03801845,0.03134885,0.02708475,0.03378433,0.03803056,0.02623391,0.02916254,0.01792346,0.01488623,0.01478648,0.01226142,0.009130763,0.01187032,0.009834619,0.008874604,0.007497095,0.008406034,0.004823503,0.004896352,0.005181041,0.003264403,0.00239714,0.002123116,0.001914247,0.001263246,0.001229151,0.001041239,0.0009875731,0.0007970735,0.0007123089,0.0005403894,0.0004672814,0.0004168027,0.0003353882,0.0002806498,0.0002336489,0.0001938331,0.0001592102,9.806531e-05
